tic,filename,anomaly_score
8196285,tess2018206045859-s0001-0000000008196285-0120-s_lc.fits,0.0
8196402,tess2018206045859-s0001-0000000008196402-0120-s_lc.fits,0.0
24195690,tess2018206045859-s0001-0000000024195690-0120-s_lc.fits,0.0
8196058,tess2018206045859-s0001-0000000008196058-0120-s_lc.fits,0.0
8195886,tess2018206045859-s0001-0000000008195886-0120-s_lc.fits,0.0
8196324,tess2018206045859-s0001-0000000008196324-0120-s_lc.fits,0.0
24195569,tess2018206045859-s0001-0000000024195569-0120-s_lc.fits,0.0
8196173,tess2018206045859-s0001-0000000008196173-0120-s_lc.fits,0.0
24292848,tess2018206045859-s0001-0000000024292848-0120-s_lc.fits,0.0
24265684,tess2018206045859-s0001-0000000024265684-0120-s_lc.fits,0.0
24231627,tess2018206045859-s0001-0000000024231627-0120-s_lc.fits,0.0
24265755,tess2018206045859-s0001-0000000024265755-0120-s_lc.fits,0.0
24292625,tess2018206045859-s0001-0000000024292625-0120-s_lc.fits,0.0
24265859,tess2018206045859-s0001-0000000024265859-0120-s_lc.fits,0.0
24672008,tess2018206045859-s0001-0000000024672008-0120-s_lc.fits,0.0
24293836,tess2018206045859-s0001-0000000024293836-0120-s_lc.fits,0.0
24694579,tess2018206045859-s0001-0000000024694579-0120-s_lc.fits,0.0
24693528,tess2018206045859-s0001-0000000024693528-0120-s_lc.fits,0.0
24693383,tess2018206045859-s0001-0000000024693383-0120-s_lc.fits,0.0
24695161,tess2018206045859-s0001-0000000024695161-0120-s_lc.fits,0.0
24695017,tess2018206045859-s0001-0000000024695017-0120-s_lc.fits,0.0
24695711,tess2018206045859-s0001-0000000024695711-0120-s_lc.fits,0.0
24695725,tess2018206045859-s0001-0000000024695725-0120-s_lc.fits,0.0
24696180,tess2018206045859-s0001-0000000024696180-0120-s_lc.fits,0.0
24703650,tess2018206045859-s0001-0000000024703650-0120-s_lc.fits,0.0
24704388,tess2018206045859-s0001-0000000024704388-0120-s_lc.fits,0.0
24704862,tess2018206045859-s0001-0000000024704862-0120-s_lc.fits,0.0
24705529,tess2018206045859-s0001-0000000024705529-0120-s_lc.fits,0.0
24706359,tess2018206045859-s0001-0000000024706359-0120-s_lc.fits,0.0
24705587,tess2018206045859-s0001-0000000024705587-0120-s_lc.fits,0.0
24704868,tess2018206045859-s0001-0000000024704868-0120-s_lc.fits,0.0
24705603,tess2018206045859-s0001-0000000024705603-0120-s_lc.fits,0.0
24750489,tess2018206045859-s0001-0000000024750489-0120-s_lc.fits,0.0
24750295,tess2018206045859-s0001-0000000024750295-0120-s_lc.fits,0.0
24706893,tess2018206045859-s0001-0000000024706893-0120-s_lc.fits,0.0
24750915,tess2018206045859-s0001-0000000024750915-0120-s_lc.fits,0.0
25063296,tess2018206045859-s0001-0000000025063296-0120-s_lc.fits,0.0
24751068,tess2018206045859-s0001-0000000024751068-0120-s_lc.fits,0.0
24750548,tess2018206045859-s0001-0000000024750548-0120-s_lc.fits,0.0
24751264,tess2018206045859-s0001-0000000024751264-0120-s_lc.fits,0.0
25063986,tess2018206045859-s0001-0000000025063986-0120-s_lc.fits,0.0
25063999,tess2018206045859-s0001-0000000025063999-0120-s_lc.fits,0.0
25064731,tess2018206045859-s0001-0000000025064731-0120-s_lc.fits,0.0
25064377,tess2018206045859-s0001-0000000025064377-0120-s_lc.fits,0.0
25065290,tess2018206045859-s0001-0000000025065290-0120-s_lc.fits,0.0
25065358,tess2018206045859-s0001-0000000025065358-0120-s_lc.fits,0.0
25064848,tess2018206045859-s0001-0000000025064848-0120-s_lc.fits,0.0
25065357,tess2018206045859-s0001-0000000025065357-0120-s_lc.fits,0.0
25065471,tess2018206045859-s0001-0000000025065471-0120-s_lc.fits,0.0
25077654,tess2018206045859-s0001-0000000025077654-0120-s_lc.fits,0.0
25077712,tess2018206045859-s0001-0000000025077712-0120-s_lc.fits,0.0
25078674,tess2018206045859-s0001-0000000025078674-0120-s_lc.fits,0.0
25078884,tess2018206045859-s0001-0000000025078884-0120-s_lc.fits,0.0
25079777,tess2018206045859-s0001-0000000025079777-0120-s_lc.fits,0.0
25078924,tess2018206045859-s0001-0000000025078924-0120-s_lc.fits,0.0
25080362,tess2018206045859-s0001-0000000025080362-0120-s_lc.fits,0.0
25080867,tess2018206045859-s0001-0000000025080867-0120-s_lc.fits,0.0
25081005,tess2018206045859-s0001-0000000025081005-0120-s_lc.fits,0.0
25081173,tess2018206045859-s0001-0000000025081173-0120-s_lc.fits,0.0
25081091,tess2018206045859-s0001-0000000025081091-0120-s_lc.fits,0.0
25081729,tess2018206045859-s0001-0000000025081729-0120-s_lc.fits,0.0
25081407,tess2018206045859-s0001-0000000025081407-0120-s_lc.fits,0.0
25081629,tess2018206045859-s0001-0000000025081629-0120-s_lc.fits,0.0
25081575,tess2018206045859-s0001-0000000025081575-0120-s_lc.fits,0.0
25115881,tess2018206045859-s0001-0000000025115881-0120-s_lc.fits,0.0
25115993,tess2018206045859-s0001-0000000025115993-0120-s_lc.fits,0.0
25116013,tess2018206045859-s0001-0000000025116013-0120-s_lc.fits,0.0
25116119,tess2018206045859-s0001-0000000025116119-0120-s_lc.fits,0.0
25117096,tess2018206045859-s0001-0000000025117096-0120-s_lc.fits,0.0
25117273,tess2018206045859-s0001-0000000025117273-0120-s_lc.fits,0.0
25116563,tess2018206045859-s0001-0000000025116563-0120-s_lc.fits,0.0
25117242,tess2018206045859-s0001-0000000025117242-0120-s_lc.fits,0.0
25116423,tess2018206045859-s0001-0000000025116423-0120-s_lc.fits,0.0
25117741,tess2018206045859-s0001-0000000025117741-0120-s_lc.fits,0.0
25117756,tess2018206045859-s0001-0000000025117756-0120-s_lc.fits,0.0
25118098,tess2018206045859-s0001-0000000025118098-0120-s_lc.fits,0.0
25118795,tess2018206045859-s0001-0000000025118795-0120-s_lc.fits,0.0
25118964,tess2018206045859-s0001-0000000025118964-0120-s_lc.fits,0.0
25132314,tess2018206045859-s0001-0000000025132314-0120-s_lc.fits,0.0
25131718,tess2018206045859-s0001-0000000025131718-0120-s_lc.fits,0.0
25132265,tess2018206045859-s0001-0000000025132265-0120-s_lc.fits,0.0
25132222,tess2018206045859-s0001-0000000025132222-0120-s_lc.fits,0.0
25132694,tess2018206045859-s0001-0000000025132694-0120-s_lc.fits,0.0
25132696,tess2018206045859-s0001-0000000025132696-0120-s_lc.fits,0.0
25132754,tess2018206045859-s0001-0000000025132754-0120-s_lc.fits,0.0
25132720,tess2018206045859-s0001-0000000025132720-0120-s_lc.fits,0.0
25132999,tess2018206045859-s0001-0000000025132999-0120-s_lc.fits,0.0
25133016,tess2018206045859-s0001-0000000025133016-0120-s_lc.fits,0.0
