variant,threshold_percent,n_tois_flagged,avg_normalized_importance,max_normalized_importance
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2,10,10,0.23324969248258984,1.0
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2,20,16,0.20304129811793664,1.0
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2,30,19,0.17127227498082917,1.0
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2,40,22,0.1479952962025506,1.0
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2,50,27,0.12071070056846661,1.0
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2,60,35,0.09350118662642293,1.0
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2,70,38,0.08679650810393613,1.0
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2,80,44,0.07506220615252458,1.0
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2,90,45,0.07626105305488477,1.0
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2,100,49,0.0700966635218851,1.0
urf4_model_variant_n100_d13_c10_n200ppm_anomaly_scores_sector_2,10,11,0.28567453917215574,1.0
urf4_model_variant_n100_d13_c10_n200ppm_anomaly_scores_sector_2,20,15,0.20955263247826583,1.0
urf4_model_variant_n100_d13_c10_n200ppm_anomaly_scores_sector_2,30,19,0.1680611518928848,1.0
urf4_model_variant_n100_d13_c10_n200ppm_anomaly_scores_sector_2,40,23,0.14277731098204308,1.0
urf4_model_variant_n100_d13_c10_n200ppm_anomaly_scores_sector_2,50,27,0.12645302805348263,1.0
urf4_model_variant_n100_d13_c10_n200ppm_anomaly_scores_sector_2,60,30,0.11386820403364346,1.0
urf4_model_variant_n100_d13_c10_n200ppm_anomaly_scores_sector_2,70,34,0.10055951556006248,1.0
urf4_model_variant_n100_d13_c10_n200ppm_anomaly_scores_sector_2,80,37,0.0924327889674545,1.0
urf4_model_variant_n100_d13_c10_n200ppm_anomaly_scores_sector_2,90,42,0.08167880207264194,1.0
urf4_model_variant_n100_d13_c10_n200ppm_anomaly_scores_sector_2,100,49,0.0700966635218851,1.0
urf4_model_variant_n100_d13_c10_n50ppm_anomaly_scores_sector_2,10,11,0.28567453917215574,1.0
urf4_model_variant_n100_d13_c10_n50ppm_anomaly_scores_sector_2,20,15,0.2165699374146216,1.0
urf4_model_variant_n100_d13_c10_n50ppm_anomaly_scores_sector_2,30,18,0.1805524388171295,1.0
urf4_model_variant_n100_d13_c10_n50ppm_anomaly_scores_sector_2,40,19,0.171054285680298,1.0
urf4_model_variant_n100_d13_c10_n50ppm_anomaly_scores_sector_2,50,26,0.12618044905061854,1.0
urf4_model_variant_n100_d13_c10_n50ppm_anomaly_scores_sector_2,60,33,0.0995468103557871,1.0
urf4_model_variant_n100_d13_c10_n50ppm_anomaly_scores_sector_2,70,38,0.08661936826261388,1.0
urf4_model_variant_n100_d13_c10_n50ppm_anomaly_scores_sector_2,80,40,0.08554689828659202,1.0
urf4_model_variant_n100_d13_c10_n50ppm_anomaly_scores_sector_2,90,43,0.07965006629477264,1.0
urf4_model_variant_n100_d13_c10_n50ppm_anomaly_scores_sector_2,100,49,0.07009666352188511,1.0
urf4_model_variant_n100_d13_c2_n100ppm_anomaly_scores_sector_2,10,11,0.2856745391721557,1.0
urf4_model_variant_n100_d13_c2_n100ppm_anomaly_scores_sector_2,20,15,0.21071964993304731,1.0
urf4_model_variant_n100_d13_c2_n100ppm_anomaly_scores_sector_2,30,21,0.1549493880818748,1.0
