variant,threshold_percent,n_top_n,n_tois_total,n_tois_flagged,toi_recall,anomaly_rate
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2,5,200,49,8,0.16326530612244897,0.05
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2,10,400,49,10,0.20408163265306123,0.1
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2,20,800,49,16,0.32653061224489793,0.2
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2,30,1200,49,19,0.3877551020408163,0.3
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2,40,1600,49,22,0.4489795918367347,0.4
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2,50,2000,49,27,0.5510204081632653,0.5
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2,60,2400,49,35,0.7142857142857143,0.6
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2,70,2800,49,38,0.7755102040816326,0.7
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2,80,3200,49,44,0.8979591836734694,0.8
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2,90,3600,49,45,0.9183673469387755,0.9
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2,100,4000,49,49,1.0,1.0
urf4_model_variant_n100_d13_c10_n200ppm_anomaly_scores_sector_2,5,200,49,9,0.1836734693877551,0.05
urf4_model_variant_n100_d13_c10_n200ppm_anomaly_scores_sector_2,10,400,49,11,0.22448979591836735,0.1
urf4_model_variant_n100_d13_c10_n200ppm_anomaly_scores_sector_2,20,800,49,15,0.30612244897959184,0.2
urf4_model_variant_n100_d13_c10_n200ppm_anomaly_scores_sector_2,30,1200,49,19,0.3877551020408163,0.3
urf4_model_variant_n100_d13_c10_n200ppm_anomaly_scores_sector_2,40,1600,49,23,0.46938775510204084,0.4
urf4_model_variant_n100_d13_c10_n200ppm_anomaly_scores_sector_2,50,2000,49,27,0.5510204081632653,0.5
