,filename,matched_label,label_group,similarity_score
0,tess2018206045859-s0001-0000000281779224-0120-s_lc.fits,PM*,stellar,0.6100697816233797
1,tess2018206045859-s0001-0000000060645999-0120-s_lc.fits,outlier,outlier,0.3314161686737198
2,tess2018206045859-s0001-0000000234508705-0120-s_lc.fits,outlier,outlier,0.5010396004394878
3,tess2018206045859-s0001-0000000115190256-0120-s_lc.fits,outlier,outlier,0.4039221428759638
4,tess2018206045859-s0001-0000000350431335-0120-s_lc.fits,*,stellar,0.769480585389206
5,tess2018206045859-s0001-0000000349518888-0120-s_lc.fits,outlier,outlier,0.555193668803549
6,tess2018206045859-s0001-0000000142110536-0120-s_lc.fits,Pl?,planet_like,0.7039216301326641
7,tess2018206045859-s0001-0000000211334618-0120-s_lc.fits,outlier,outlier,0.4436982331369951
8,tess2018206045859-s0001-0000000038808065-0120-s_lc.fits,outlier,outlier,0.5287511992861748
9,tess2018206045859-s0001-0000000211379818-0120-s_lc.fits,PM*,stellar,0.8150067670674154
10,tess2018206045859-s0001-0000000403288575-0120-s_lc.fits,Pl?,planet_like,0.7463329678281587
11,tess2018206045859-s0001-0000000099646802-0120-s_lc.fits,outlier,outlier,0.5215502901617349
12,tess2018206045859-s0001-0000000176980774-0120-s_lc.fits,outlier,outlier,0.561938559878883
13,tess2018206045859-s0001-0000000405425424-0120-s_lc.fits,outlier,outlier,0.3935467862386958
14,tess2018206045859-s0001-0000000212319204-0120-s_lc.fits,outlier,outlier,0.5045013115172577
15,tess2018206045859-s0001-0000000050472380-0120-s_lc.fits,outlier,outlier,0.4104959115026794
16,tess2018206045859-s0001-0000000281541555-0120-s_lc.fits,*,stellar,0.6978432333707618
17,tess2018206045859-s0001-0000000237313136-0120-s_lc.fits,err,outlier,0.7217797228261258
18,tess2018206045859-s0001-0000000270356871-0120-s_lc.fits,PM*,stellar,0.7536099580305412
19,tess2018206045859-s0001-0000000306829238-0120-s_lc.fits,outlier,outlier,0.31288248542023317
20,tess2018206045859-s0001-0000000149155360-0120-s_lc.fits,Pl,planet_like,0.6196205514705989
21,tess2018206045859-s0001-0000000278822664-0120-s_lc.fits,Pl,planet_like,0.914013717206219
22,tess2018206045859-s0001-0000000147382208-0120-s_lc.fits,outlier,outlier,0.4495515488480549
23,tess2018206045859-s0001-0000000404768019-0120-s_lc.fits,outlier,outlier,0.4205484858099478
24,tess2018206045859-s0001-0000000317061205-0120-s_lc.fits,outlier,outlier,0.5078409805818448
25,tess2018206045859-s0001-0000000143857145-0120-s_lc.fits,*,stellar,0.8112936213636157
26,tess2018206045859-s0001-0000000204498240-0120-s_lc.fits,outlier,outlier,0.5121179793073843
27,tess2018206045859-s0001-0000000403318050-0120-s_lc.fits,Pl?,planet_like,0.8529697152525535
28,tess2018206045859-s0001-0000000290648723-0120-s_lc.fits,outlier,outlier,0.557802671936788
29,tess2018206045859-s0001-0000000234333590-0120-s_lc.fits,outlier,outlier,0.3343833799535716
30,tess2018206045859-s0001-0000000126876589-0120-s_lc.fits,PM*,stellar,0.9480333413438746
31,tess2018206045859-s0001-0000000234494090-0120-s_lc.fits,outlier,outlier,0.506878618651476
32,tess2018206045859-s0001-0000000197951792-0120-s_lc.fits,Pl,planet_like,0.695605437051083
33,tess2018206045859-s0001-0000000055663264-0120-s_lc.fits,outlier,outlier,0.5820502735587356
34,tess2018206045859-s0001-0000000053894240-0120-s_lc.fits,outlier,outlier,0.5588150447883979
35,tess2018206045859-s0001-0000000317130136-0120-s_lc.fits,outlier,outlier,0.590799975768732
36,tess2018206045859-s0001-0000000234515928-0120-s_lc.fits,outlier,outlier,0.41743066686316205
37,tess2018206045859-s0001-0000000271698144-0120-s_lc.fits,outlier,outlier,0.5966771732659395
38,tess2018206045859-s0001-0000000231831315-0120-s_lc.fits,outlier,outlier,0.32658564637759974
39,tess2018206045859-s0001-0000000389130956-0120-s_lc.fits,outlier,outlier,0.4121149198532177
40,tess2018206045859-s0001-0000000355650859-0120-s_lc.fits,*,stellar,0.6438768213033425
41,tess2018206045859-s0001-0000000206406691-0120-s_lc.fits,*,stellar,0.7026127369490269
42,tess2018206045859-s0001-0000000159876621-0120-s_lc.fits,err,outlier,0.6509713795981924
43,tess2018206045859-s0001-0000000300710144-0120-s_lc.fits,Pl?,planet_like,0.6359636509431662
44,tess2018206045859-s0001-0000000149539552-0120-s_lc.fits,outlier,outlier,0.512162662314284
45,tess2018206045859-s0001-0000000425878763-0120-s_lc.fits,outlier,outlier,0.5527289423495418
46,tess2018206045859-s0001-0000000211409865-0120-s_lc.fits,PM*,stellar,0.6122027316649755
47,tess2018206045859-s0001-0000000388202207-0120-s_lc.fits,Pl,planet_like,0.7018441093395774
48,tess2018206045859-s0001-0000000277911580-0120-s_lc.fits,*,stellar,0.6642599106430269
49,tess2018206045859-s0001-0000000142052876-0120-s_lc.fits,outlier,outlier,0.3803423456957395
50,tess2018206045859-s0001-0000000425883253-0120-s_lc.fits,outlier,outlier,0.5133922694987006
