,tic,ra,dec,simbad_main_id,simbad_label,is_tic_named
0,149603524,87.1399740872908,-63.988440787086,CPD-64   484b,Pl,False
1,38846515,68.9597092399964,-64.0270368810381,CPD-64   356b,Pl,False
2,281459670,5.61871679195764,-59.9425681624254,HATS-30b,Pl,False
3,355703913,0.774459635642891,-62.4693378500782,HATS-34,*,False
4,388104525,55.93342240979,-65.1938512272516,WASP-119b,Pl,False
5,25155310,63.3739396231274,-69.226822697583,WASP-126b,Pl,False
6,281541555,6.70247349041089,-56.3161336457353,HATS-46b,Pl,False
7,322307342,15.0058892828148,-58.904756866024,HATS-68b,Pl,False
8,278683844,99.2380026664762,-58.015267921449,TOI-119.02,Pl?,False
9,52368076,23.5947280925226,-66.6758200741315,TOI-125.05,Pl?,False
10,234523599,15.5511718034752,-61.7560166327465,HATS-71,PM*,False
11,201248411,0.187122325020553,-54.8305149134368,CD-55  9423,PM*,False
12,176957796,101.297293119643,-66.2380357276682,TOI-137.01,err,False
13,425934411,4.605801871948,-62.8478975046551,TOI-142.01,Pl?,False
14,355636844,358.301530474831,-56.0131350243401,TOI-146.01,err,False
15,231081369,68.0736517201916,-66.9163664821225,TOI-153,*,False
16,394657039,51.7820156922767,-78.549839275776,TOI-159,*,False
17,350743714,88.8862032374668,-57.2905739636276,CD-57  1311B,*,False
18,149990841,90.6625181884158,-64.8195480704046,TOI-167.01,Pl?,False
19,425997655,55.459996445454,-62.7670776592764,HD  23472b,Pl,False
20,307210830,124.531756290083,-68.3129998725044,NAME L 98-59 b,Pl,False
21,272086159,115.003255175953,-72.2077391158699,SCR J0740-7212,PM*,False
22,262530407,20.439126387292,-46.7143796925629,GJ 3090 c,Pl?,False
23,251848941,7.30126252520958,-30.4537402584108,TOI-178c,Pl,False
24,207141131,44.262298227705,-56.1920872201272,HD  18599,PM*,False
25,51912829,14.2983843819147,-67.4962602780487,TOI-180.01,err,False
26,76923707,352.171959164877,-34.4913987570197,CD-35 15805,PM*,False
27,76989773,353.294565047466,-35.463706216419,TOI-182.01,err,False
28,183979262,21.6491825405389,-72.7489643001488,HD   9068,PM*,False
29,300871545,117.657590260861,-70.5336038980861,TOI-184.01,err,False
30,100100827,24.3543062905944,-45.6778823650122,HD  10069,SB*,False
31,279741379,51.746761965648,-63.4991005063024,HD  21749b,Pl,False
32,260304296,94.6156097867826,-57.013528755772,CD-56  1476,Er*,False
33,280830734,44.5551506440609,-70.7609514713989,TOI-188.01,err,False
34,278866211,100.807894276432,-55.2445538958194,TOI-189.01,err,False
35,166739520,36.7754071949403,-50.284531189125,CD-50   714b,Pl,False
36,183532609,359.900296605672,-35.0313676342491,CD-35 16019c,Pl,False
37,183537452,357.879516734229,-39.9067388795199,CD-40 15273b,Pl,False
38,183985250,358.667530551082,-37.6279231975468,NAME LTT 9779c,Pl?,False
39,211438925,5.16056866728252,-23.9357106342975,CD-24   102b,Pl,False
40,230982885,24.6044028322619,-55.7720907565533,CD-56   324b,Pl,False
41,234519192,14.5516912054834,-64.7616080889124,TOI-196.01,Pl?,False
42,441462736,353.033635022551,-21.801421336347,HD 221416b,Pl,False
43,12421862,2.26815992112666,-27.1221332878693,TOI-198b,Pl,False
44,309792357,80.1054811875788,-59.8956843110695,CD-60  1144c,Pl,False
45,350618622,87.4017245611905,-54.9107091060348,TOI-201.02,Pl?,False
46,355509914,15.5248899001057,-59.0877573600604,TOI-202,*,False
47,259962054,43.018707574081,-67.6876590144493,UPM J0252-6741,PM*,False
48,281781375,12.9752598849753,-59.3430051430952,HD   5088,PM*,False
49,281575427,7.97521606634784,-56.9651009302552,CD-57   105,*,False
50,55650590,73.737231358606,-62.5223519900679,TOI-206,PM*,False
51,260271203,94.2180798412966,-58.2298098881305,TOI-207,*,False
52,314865962,53.2813105131439,-72.7442432610343,CPD-73   228,*,False
53,52204645,19.3943161744083,-66.9024700809606,TOI-209.01,Pl?,False
54,141608198,88.9605844424677,-73.9846887969685,TOI-210.01,Pl?,False
55,300293197,110.279638969995,-68.5784061999537,TOI-211.01,err,False
56,206609630,22.5500238407526,-59.5832461659004,TOI-212,**,False
57,234345288,38.8865965937357,-71.6241615715871,TOI-213,PM*,False
58,167415965,99.4607164680041,-70.9326132858146,TOI-214.01,Pl?,False
59,231912935,7.31813005718169,-63.7905978284267,TOI-215,*,False
60,55652896,73.9802301387634,-63.2600874606349,TOI-216,PM*,False
61,260043723,91.6085504281106,-58.953655484861,TOI-217.01,err,False
62,32090583,58.4203493783103,-68.739450510371,SCR J0353-6844A,PM*,False
63,260609205,97.4539312032295,-57.2548406463697,TOI-219,*,False
64,150098860,91.799862131551,-61.9969154317262,CD-61  1276,PM*,False
65,316937670,356.49036861439,-56.3446719329332,TOI-221.01,err,False
66,144440290,359.161503514231,-44.7190780336752,HD 224286,SB*,False
67,326453034,339.6776702088,-25.6317337357482,CD-26 16247,*,False
68,70797900,1.97739533934809,-29.9789904545862,TOI-224.01,err,False
69,47525799,343.879720255361,-24.4096525992123,CD-25 16182,PM*,False
70,47484268,342.966435030439,-24.7874737902442,TOI-226.01,err,False
71,2760710,356.527698726419,-16.6912491142161,TOI-227,PM*,False
72,77044471,358.558742881918,-30.0130295635616,HATS-16b,Pl,False
73,120610833,5.23747516244411,-35.9982631626011,WASP-45,PM*,False
74,160074939,346.319089515086,-36.9455321036816,HD 218037,*,False
75,204376737,348.1572369407,-22.6739659690223,WASP-6,*,False
76,402026209,353.562857592931,-42.06140263014,WASP-4,PM*,False
77,415969908,343.710058965027,-18.9118284079225,LP  821-31,PM*,False
78,12423815,2.56874069829825,-26.2823965856355,TOI-234,*,False
79,280095254,46.1961847837024,-73.3965753952081,CD-73   132,**,False
80,9727392,358.444730531975,-10.8849727959167,1SWASP J235346.73-105305.9,SB*,False
81,305048087,353.242791548842,-29.4150524465489,TOI-237b,Pl,False
82,9006668,349.23132330909,-18.6066454298892,BD-19  6428,PM*,False
83,9725627,358.408562889786,-10.1180824330378,WASP-30,*,False
84,101948569,14.7547453112975,-44.1608245729635,CD-44   266,*,False
85,77031414,354.168235711428,-34.6112673715711,NAME CD-35 15858Ab,Pl,False
86,120585579,4.45146757704489,-38.110814033556,TOI-242.01,err,False
87,149010208,3.39410105333856,-31.3343959264875,CD-32    55,EB*,False
88,118327550,10.5705872248726,-36.7181699860913,G 267-158,PM*,False
89,154618248,345.778901418806,-33.5003909022191,HD 217737A,PM*,False
90,158623531,24.1681088673081,-50.6591713782847,WASP-105b,Pl,False
91,160148385,1.04640697207938,-47.360645258626,WASP-96b,Pl,False
92,201793781,34.6835831288559,-54.8597807239876,HD  14499,PM*,False
93,179985715,14.0804200748154,-38.9487044114802,UCAC3 103-2078,PM*,False
94,184240683,359.348985670651,-41.277151552758,WASP-5b,Pl,False
95,224225541,353.061824076808,-37.2558711052722,CD-37 15287,*,False
96,237924601,57.5537211901876,-63.0537989825013,TOI-252.01,Pl?,False
97,322063810,14.3177913715051,-51.5846435401829,CD-52   187,PM*,False
98,49687222,351.705503939626,-11.7253748582623,HD 220798,SB*,False
99,204317710,346.075092733207,-21.2719301615287,HATS-32,*,False
100,350445771,85.4674842822155,-56.7405377506048,TYC 8527-1152-1,EB*,False
101,29781292,65.2380521967055,-68.1026427684651,HD  28109b,Pl?,False
102,382626661,118.569625212259,-65.4415502478414,TOI-283,*,False
103,220459976,74.6971434458311,-56.3940572111722,TOI-285,PM*,False
104,150030205,90.9836077380017,-60.6663198471192,CD-60  1348b,Pl,False
105,2758565,356.283144750421,-17.4491901164213,TOI-287.01,Pl?,False
106,47316976,340.307730869494,-28.0326658341058,HD 214829,*,False
107,201292545,2.90053177125668,-56.5996353624978,TOI-289.01,Pl?,False
108,201233610,359.516493188325,-49.3008270397653,TOI-290,*,False
109,49710555,352.164391769713,-10.8595861586685,TOI-291,*,False
110,180285396,14.7139095784772,-36.6883686393213,TOI-292,PM*,False
111,355637190,358.15445599809,-54.468856357102,TOI-293.01,err,False
112,188570092,339.026329121847,-16.9999411754881,HATS-72,PM*,False
113,327952677,359.091778217902,-13.271592515728,WASP-146b,Pl,False
114,382463648,353.104868839988,-45.909507045114,TOI-296,*,False
115,115242351,6.1768826826106,-36.114411171627,TOI-297,*,False
116,156075294,10.5946380937672,-48.2935687587068,TOI-299,*,False
117,166697854,35.737343756543,-53.0702282374256,CD-53   469B,*,False
118,144301052,354.297493533294,-42.0102589403201,TOI-301.01,Pl?,False
119,229111835,17.480780766439,-52.2394720199093,TOI-302,PM*,False
120,145750719,341.364018096165,-14.9917626906094,HATS-60,*,False
121,262530873,20.4940513772815,-44.4167382092464,TOI-304,*,False
122,102030574,15.8446715149773,-44.7057810777087,TOI-305,*,False
123,114749636,359.191536327879,-22.1532015819367,WASP-147b,Pl,False
124,9100874,350.578437218448,-22.6773785528512,TOI-307,*,False
125,281710229,11.4846422424771,-55.9226140959887,TOI-308,*,False
126,228507250,358.039579200693,-15.8010496843211,TOI-309b,Pl,False
127,175477257,351.105824631468,-36.9759896976172,TOI-310,*,False
128,434105231,354.335538711689,-13.4556631919922,TOI-311.01,err,False
129,180145006,14.5232937158978,-37.9425320903519,TOI-312,*,False
130,9102327,350.779780704847,-19.4196718790123,UCAC2  24499874,*,False
131,316769613,354.668265392077,-32.8606182679826,UCAC3 115-492486,*,False
132,66356824,12.0763061991261,-32.11934894339,TOI-315.01,Pl?,False
133,8988289,354.759289121525,-9.88209137214423,TOI-316,*,False
134,402319411,353.540006683995,-14.8599491645498,TOI-317.01,Pl?,False
135,206352378,355.015480921252,-53.0390174258134,TOI-318,*,False
136,389753172,351.290961752898,-47.9455607003826,TOI-319.01,err,False
137,188593930,345.522751172725,-16.3599368907356,SCR J2302-1621,PM*,False
138,175476629,350.977782030175,-38.2257287324514,TOI-321,*,False
139,198077394,63.8251488715803,-56.2537386173146,TOI-322,*,False
140,251852984,8.20281026867765,-32.0593122393038,TOI-323,*,False
141,156002449,8.48189524781962,-50.7292871352926,TOI-324,*,False
142,66413476,13.8770175485831,-33.5121829059057,TOI-325,*,False
143,144336525,356.114909945176,-46.8665800589582,TOI-326.01,err,False
144,206669860,343.633040136177,-34.5027374551463,TOI-327,*,False
145,27966179,358.751564360225,-22.5387509310433,** TOI  330B,*,False
146,262531275,20.4192926448976,-42.4817207014163,TOI-331,*,False
147,139285832,348.058733482598,-44.8763242279409,TOI-332,PM*,False
148,233964642,36.4987501368371,-63.6475472217311,CD-64    69,*,False
149,41865539,21.3223255851924,-39.9478130581548,TOI-335.01,err,False
150,55452495,70.670393428764,-64.8851982001677,CPD-65   373,EB*,False
151,155986102,7.329892693528,-50.1401294692362,TOI-337,*,False
152,116156517,7.70931250406725,-40.5734219985382,WASP-190b,Pl,False
153,69838258,337.921632736835,-21.9456793935302,TOI-339.01,err,False
154,80439101,11.7473108270578,-44.3699301048992,TOI-340,*,False
155,33911302,355.84491641049,-23.9979263027529,TOI-341,*,False
